,index,name,year,year_prod,cum,investmentMillNOK,recoverable_oil,remaining_oil,oil_price_nom,oil_price_real,oil_price_real_l1,oil_price_real_l2,oil_price_real_l3,oil_price_real_l4,oil_price_real_l5,oil_price_real_l6,oil_price_real_l7,oil_price_real_l8,diff_oil_price,pos_price_diff,neg_price_diff,diff_oil_price_3yr,pos_diff_3yr,neg_diff_3yr,deflator,bond_index,init_year,tot.prod,producing_from,producing_to,approved_at,shutdown,investmentMillNOK_real,maxyear,producing_time,time_to_peak
25,28,ALBUSKJELL,1993,0.09609,7.069089999999999,0.0,7.4,0.0,16.9716342,2.6965988806331,3.1617592005277,3.3719950232076004,4.1677934093024,3.3746824653227003,2.8963858928739,3.7258577781722004,3.0228480109489,5.8806790334572,-0.4651603198946,1e-07,4.651603198946,-14.711945286693,1e-06,14.711945286693,0.63737796914,697.73,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,0.0,1980,14,1
26,29,ALBUSKJELL,1994,0.08102000000000001,7.150110000000001,3.0,7.4,0.0,15.8173152,2.4504457935416997,2.6965988806331,3.1617592005277,3.3719950232076004,4.1677934093024,3.3746824653227003,2.8963858928739,3.7258577781722004,3.0228480109489,-0.2461530870914,1e-07,2.461530870914,-9.215492296659,1e-06,9.215492296659,0.6418274807,674.41,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,4.67415324243844,1980,15,1
27,30,ALBUSKJELL,1995,0.07389,7.224,3.0,7.4,0.0,17.016679699999997,2.5636007605261004,2.4504457935416997,2.6965988806331,3.1617592005277,3.3719950232076004,4.1677934093024,3.3746824653227003,2.8963858928739,3.7258577781722004,0.1131549669844,1.131549669844,1e-07,-5.981584400016001,1e-06,5.981584400016001,0.66338741206,819.75,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,4.5222443861034005,1980,16,1
28,31,ALBUSKJELL,1996,0.054360000000000006,7.27836,0.0,7.4,0.0,20.668488399999998,3.0244492834351,2.5636007605261004,2.4504457935416997,2.6965988806331,3.1617592005277,3.3719950232076004,4.1677934093024,3.3746824653227003,2.8963858928739,0.460848522909,4.60848522909,1e-07,3.27850402802,3.27850402802,1e-06,0.6729053332899999,847.54,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,0.0,1980,17,1
29,32,ALBUSKJELL,1997,0.04615,7.324510000000001,0.0,7.4,0.0,19.0925875,2.7311797722586,3.0244492834351,2.5636007605261004,2.4504457935416997,2.6965988806331,3.1617592005277,3.3719950232076004,4.1677934093024,3.3746824653227003,-0.2932695111765,1e-07,2.932695111765,2.807339787169,2.807339787169,1e-06,0.6855188605600001,935.57,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,0.0,1980,18,1
30,33,ALBUSKJELL,1998,0.02955,7.3540600000000005,0.0,7.4,0.0,12.715661500000001,1.7910672309393,2.7311797722586,3.0244492834351,2.5636007605261004,2.4504457935416997,2.6965988806331,3.1617592005277,3.3719950232076004,4.1677934093024,-0.9401125413193,1e-07,9.401125413193,-7.725335295868,1e-06,7.725335295868,0.69929048414,1017.16,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,0.0,1980,19,1
49,54,ALVE,2009,0.25876,0.25876,674.0,1.7,0.5,61.671264799999996,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,3.1689275738077,-3.7711874746623004,1e-07,37.711874746623,-8.19032792807201,1e-06,8.19032792807201,0.9833487352600001,1885.0,2009,1.93127,2009-03-19 00:00:00,,2007-03-16,,685.412993206111,2011,0,2
50,55,ALVE,2010,0.24373000000000003,0.50249,427.0,1.7,0.5,79.49553359999999,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,1.7702299597529998,17.702299597529997,1e-07,3.54398777579,3.54398777579,1e-06,0.99972375346,2064.45,2009,1.93127,2009-03-19 00:00:00,,2007-03-16,,427.11798986687205,2011,1,2
51,56,ALVE,2011,0.31848000000000004,0.8209700000000001,369.0,1.7,0.5,111.26416666666701,11.126416666666701,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,-0.229381023912333,1e-07,2.29381023912333,45.26458444778971,45.26458444778971,1e-06,1.03495856434,2219.45,2009,1.93127,2009-03-19 00:00:00,,2007-03-16,,356.536012855079,2011,2,2
52,58,ALVE,2012,0.24345999999999998,1.06443,32.0,1.7,0.5,111.651666666667,11.1651666666667,11.166970238095,11.126416666666701,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,-0.00180357142833287,1e-07,0.0180357142833287,-1.9063102391233302,1e-06,1.9063102391233302,1.0452581614799998,2449.56,2009,1.93127,2009-03-19 00:00:00,,2007-03-16,,30.6144464394237,2011,3,2
