"","name","year","year_prod","cum","investmentMillNOK","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real"
"16","ALBUSKJELL",1975,NA,NA,319,7.4,0,11.53,49.2117978638,53.9449929708,17.0032494926,13.6141894992,12.6824052096,10.637549208,11.265718392,11.873224116,12.369147156,-4.733195107,1e-07,4.733195107,35.5976083646,35.5976083646,1e-06,0.21591837017,112.42,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,1477.41018862286
"26","ALBUSKJELL",1976,NA,NA,879,7.4,0,12.8,51.634772224,49.2117978638,53.9449929708,17.0032494926,13.6141894992,12.6824052096,10.637549208,11.265718392,11.873224116,2.4229743602,2.4229743602,1e-07,34.6315227314,34.6315227314,1e-06,0.23929077549,133.56,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,3673.35513957885
"35","ALBUSKJELL",1977,NA,NA,398,7.4,0,13.92,52.7011904352,51.634772224,49.2117978638,53.9449929708,17.0032494926,13.6141894992,12.6824052096,10.637549208,11.265718392,1.06641821119999,1.06641821119999,1e-07,-1.2438025356,1e-06,1.2438025356,0.26271777079,138.64,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,1514.93368264812
"42","ALBUSKJELL",1978,NA,NA,235,7.4,0,14.02,49.369752760736,52.7011904352,51.634772224,49.2117978638,53.9449929708,17.0032494926,13.6141894992,12.6824052096,10.637549208,-3.331437674464,1e-07,3.331437674464,0.157954896935998,0.157954896935998,1e-06,0.27798832517,139.11,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,845.359242537574
"44","ALBUSKJELL",1979,0.53117,0.53117,96,7.4,0,31.61,99.965101101928,49.369752760736,52.7011904352,51.634772224,49.2117978638,53.9449929708,17.0032494926,13.6141894992,12.6824052096,50.595348341192,50.595348341192,1e-07,48.330328877928,48.330328877928,1e-06,0.28829332252,136.04,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,332.994185091957
"37","ALBUSKJELL",1980,1.44168,1.97285,64,7.4,0,36.83,102.62071626214,99.965101101928,49.369752760736,52.7011904352,51.634772224,49.2117978638,53.9449929708,17.0032494926,13.6141894992,2.65561516021199,2.65561516021199,1e-07,49.91952582694,49.91952582694,1e-06,0.31537538189,136.77,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,202.932770517651
"49","ALBUSKJELL",1981,1.42624,3.39909,40,7.4,0,35.93,90.751511771177,102.62071626214,99.965101101928,49.369752760736,52.7011904352,51.634772224,49.2117978638,53.9449929708,17.0032494926,-11.869204490963,1e-07,11.869204490963,41.381759010441,41.381759010441,1e-06,0.34808704606,139.91,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,114.913785079796
"29","ALBUSKJELL",1982,0.95293,4.35202,232,7.4,0,32.97,78.442633989637,90.751511771177,102.62071626214,99.965101101928,49.369752760736,52.7011904352,51.634772224,49.2117978638,53.9449929708,-12.30887778154,1e-07,12.30887778154,-21.522467112291,1e-06,21.522467112291,0.38480464028,189.62,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,602.903332535666
"34","ALBUSKJELL",1983,0.69736,5.04938,263,7.4,0,29.55,68.117496987952,78.442633989637,90.751511771177,102.62071626214,99.965101101928,49.369752760736,52.7011904352,51.634772224,49.2117978638,-10.325137001685,1e-07,10.325137001685,-34.503219274188,1e-06,34.503219274188,0.41323660707,207.3,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,636.439259011362
"45","ALBUSKJELL",1984,0.46157,5.51095,0,7.4,0,28.78,63.596875072185,68.117496987952,78.442633989637,90.751511771177,102.62071626214,99.965101101928,49.369752760736,52.7011904352,51.634772224,-4.52062191576699,1e-07,4.52062191576699,-27.154636698992,1e-06,27.154636698992,0.43686986038,240.9,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"41","ALBUSKJELL",1985,0.3573,5.86825,0,7.4,0,27.56,58.806790334572,63.596875072185,68.117496987952,78.442633989637,90.751511771177,102.62071626214,99.965101101928,49.369752760736,52.7011904352,-4.790084737613,1e-07,4.790084737613,-19.635843655065,1e-06,19.635843655065,0.47093857886,301.98,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"10","ALBUSKJELL",1986,0.28527,6.15352,58,7.4,0,14.43,30.228480109489,58.806790334572,63.596875072185,68.117496987952,78.442633989637,90.751511771177,102.62071626214,99.965101101928,49.369752760736,-28.578310225083,1e-07,28.578310225083,-37.889016878463,1e-06,37.889016878463,0.50415692049,351.2,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,115.043546250696
"33","ALBUSKJELL",1987,0.21581,6.36933,5,7.4,0,18.4350394,37.258577781722,30.228480109489,58.806790334572,63.596875072185,68.117496987952,78.442633989637,90.751511771177,102.62071626214,99.965101101928,7.030097672233,7.030097672233,1e-07,-26.338297290463,1e-06,26.338297290463,0.55329170384,357.67,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,9.03682445498205
"30","ALBUSKJELL",1988,0.17557,6.5449,5,7.4,0,14.9238417,28.963858928739,37.258577781722,30.228480109489,58.806790334572,63.596875072185,68.117496987952,78.442633989637,90.751511771177,102.62071626214,-8.294718852983,1e-07,8.294718852983,-29.842931405833,1e-06,29.842931405833,0.59988955903,392.57,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,8.3348675180892
