"","X","name","year","year_prod","cum","investmentMillNOK","lon","lat","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real","total.oil","total.invest"
"146",148,"BRYNHILD",2011,NA,NA,210,2.2973169124549,57.4932975065883,3.6,3.6,111.264166666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,31.7686330666667,31.7686330666667,1e-07,12.7646176363387,12.7646176363387,1e-06,1.03495856434,2219.45,2011,0,NA,NA,"2011-11-11",NA,202.906673982565,0,210
"149",184,"COD",1973,NA,NA,6,2.42291133465894,57.0664672855577,2.9,0,3.29,16.1487694424,12.9300230208,12.0450645504,10.102970592,10.699571808,11.276547984,11.747548944,12.08902464,12.426575328,3.2187464216,3.2187464216,1e-07,6.0457988504,6.0457988504,1e-06,0.16452417609,102,1973,2.87926,"1977-12-26","1998-08-05","1973-05-04","1998-08-05",36.4688044188582,2.87926,1003
"190",203,"DRAUGEN",1988,NA,NA,231,7.7560426548571,64.3324339589327,146.7,14.9,14.9238417,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,86.190891969197,97.463622330097,-7.877876661437,1e-07,7.877876661437,-28.343206924529,1e-06,28.343206924529,0.59988955903,392.57,1988,133.19228,"1993-10-19",NA,"1988-12-19",NA,385.070879335721,133.19228,23291
"216",241,"EDDA",1973,NA,NA,1,3.10359405732747,56.471103714507,4.8,0,3.29,16.1487694424,12.9300230208,12.0450645504,10.102970592,10.699571808,11.276547984,11.747548944,12.08902464,12.426575328,3.2187464216,3.2187464216,1e-07,6.0457988504,6.0457988504,1e-06,0.16452417609,102,1973,4.81745,"1979-12-02","1998-08-05","1975-04-25","1998-08-05",6.0781340698097,4.81745,2157
"257",299,"EKOFISK",1970,NA,NA,115,3.21828698687722,56.5466319905051,569.2,129.8,1.8,10.102970592,10.699571808,11.276547984,11.747548944,12.08902464,12.426575328,12.63852576,12.81515112,12.968226432,-0.596601216,1e-07,0.596601216,-1.644578352,1e-06,1.644578352,0.13681761653,NA,1970,445.23509,"1971-06-15",NA,"1972-03-01",NA,840.535034278893,445.23509,94172
"301",337,"ELDFISK",1974,NA,NA,172,3.24286950170452,56.3987003358755,137.9,37.3,11.58,51.2340452592,16.1487694424,12.9300230208,12.0450645504,10.102970592,10.699571808,11.276547984,11.747548944,12.08902464,35.0852758168,35.0852758168,1e-07,39.1889807088,39.1889807088,1e-06,0.18944916643,97.16,1974,102.29133,"1979-08-08",NA,"1975-04-25",NA,907.895258877017,102.29133,34963
"341",362,"EMBLA",1990,NA,NA,30,3.24991899726897,56.3270996890888,11.9,1.5,23.7258203,39.583454256594,32.050914207619,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,7.532540048975,7.532540048975,1e-07,4.197266304073,4.197266304073,1e-06,0.61968307593,481,1990,10.43368,"1993-05-12",NA,"1990-12-14",NA,48.4118433523087,10.43368,3129
"365",374,"ENOCH",2005,NA,NA,6,1.52325979309513,58.6475901620041,0.4,0.1,54.5210895,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,16.702729551259,16.702729551259,1e-07,30.543208995656,30.543208995656,1e-06,0.81315690914,1546.51,2005,0.27505,"2007-05-31",NA,"2005-07-01",NA,7.37864972007142,0.27505,208
"374",388,"FRAM",1997,NA,NA,0,3.52854474017832,61.0154704028285,30.7,5.9,19.0925875,25.939272647352,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,-2.785315667182,1e-07,2.785315667182,2.666259939854,2.666259939854,1e-06,0.68551886056,935.57,1997,27.01425,"2003-10-02",NA,"2001-03-23",NA,0,27.01425,9875
"391",414,"FRIGG",1974,NA,NA,471,2.0944300670264,59.9110753062934,0,0,11.58,51.2340452592,16.1487694424,12.9300230208,12.0450645504,10.102970592,10.699571808,11.276547984,11.747548944,12.08902464,35.0852758168,35.0852758168,1e-07,39.1889807088,39.1889807088,1e-06,0.18944916643,97.16,1974,0,"1977-09-13","2004-10-25","1974-06-13","2004-10-26",2486.15504029695,0,8614
"428",439,"FRØY",1992,NA,NA,194,2.55676350620293,59.732034226586,5.6,0,19.3208366,30.028683860653,32.025390331653,39.583454256594,32.050914207619,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,-1.996706471,1e-07,1.996706471,-2.022230346966,1e-06,2.022230346966,0.62557077626,620.59,1992,5.55375,"1995-05-15","2001-03-05","1992-05-18","2001-03-05",310.11678831904,5.55375,5551
"450",454,"GAUPE",2010,NA,NA,378,1.93147057433345,57.9612904674652,0.2,0.1,79.4955336,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,16.812689534739,16.812689534739,1e-07,3.36588847460101,3.36588847460101,1e-06,0.99972375346,2064.45,2010,0.15743,"2012-03-31",NA,"2010-06-25",NA,378.104450046084,0.15743,2085
"454",463,"GIMLE",2004,NA,NA,113,2.31701021620836,61.2476965479243,3,0.4,38.265,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,28.724588314534,10.004167723079,10.004167723079,1e-07,14.074292709827,14.074292709827,1e-06,0.78327904719,1516.6,2004,2.71362,"2006-05-19",NA,"2006-05-18",NA,144.265316945967,2.71362,780
