"","name","year","year_prod","cum","investmentMillNOK","lon","lat","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real"
"16","ALBUSKJELL",1979,0.53117,0.53117,96,2.99301856064265,56.6307886616647,7.4,0,31.61,94.941462258953,46.888728834356,50.0527486848,49.039922176,46.7387117912,51.2340452592,16.1487694424,12.9300230208,12.0450645504,48.052733424597,48.052733424597,1e-07,45.901540082953,45.901540082953,1e-06,0.28829332252,136.04,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,332.994185091957
"31","ALBUSKJELL",1980,1.44168,1.97285,64,2.99301856064265,56.6307886616647,7.4,0,36.83,97.463622330097,94.941462258953,46.888728834356,50.0527486848,49.039922176,46.7387117912,51.2340452592,16.1487694424,12.9300230208,2.522160071144,2.522160071144,1e-07,47.410873645297,47.410873645297,1e-06,0.31537538189,136.77,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,202.932770517651
"12","ALBUSKJELL",1981,1.42624,3.39909,40,2.99301856064265,56.6307886616647,7.4,0,35.93,86.190891969197,97.463622330097,94.941462258953,46.888728834356,50.0527486848,49.039922176,46.7387117912,51.2340452592,16.1487694424,-11.2727303609,1e-07,11.2727303609,39.302163134841,39.302163134841,1e-06,0.34808704606,139.91,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,114.913785079796
"34","ALBUSKJELL",1982,0.95293,4.35202,232,2.99301856064265,56.6307886616647,7.4,0,32.97,74.500583626943,86.190891969197,97.463622330097,94.941462258953,46.888728834356,50.0527486848,49.039922176,46.7387117912,51.2340452592,-11.690308342254,1e-07,11.690308342254,-20.44087863201,1e-06,20.44087863201,0.38480464028,189.62,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,602.903332535666
"24","ALBUSKJELL",1983,0.69736,5.04938,263,2.99301856064265,56.6307886616647,7.4,0,29.55,64.694325301205,74.500583626943,86.190891969197,97.463622330097,94.941462258953,46.888728834356,50.0527486848,49.039922176,46.7387117912,-9.806258325738,1e-07,9.806258325738,-32.769297028892,1e-06,32.769297028892,0.41323660707,207.3,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,636.439259011362
"33","ALBUSKJELL",1984,0.46157,5.51095,0,2.99301856064265,56.6307886616647,7.4,0,28.78,60.40088238691,64.694325301205,74.500583626943,86.190891969197,97.463622330097,94.941462258953,46.888728834356,50.0527486848,49.039922176,-4.293442914295,1e-07,4.293442914295,-25.790009582287,1e-06,25.790009582287,0.43686986038,240.9,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"32","ALBUSKJELL",1985,0.3573,5.86825,0,2.99301856064265,56.6307886616647,7.4,0,27.56,55.851518215613,60.40088238691,64.694325301205,74.500583626943,86.190891969197,97.463622330097,94.941462258953,46.888728834356,50.0527486848,-4.549364171297,1e-07,4.549364171297,-18.64906541133,1e-06,18.64906541133,0.47093857886,301.98,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"17","ALBUSKJELL",1986,0.28527,6.15352,58,2.99301856064265,56.6307886616647,7.4,0,14.43,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,86.190891969197,97.463622330097,94.941462258953,46.888728834356,-27.142137923642,1e-07,27.142137923642,-35.984945009234,1e-06,35.984945009234,0.50415692049,351.2,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,115.043546250696
"9","ALBUSKJELL",1987,0.21581,6.36933,5,2.99301856064265,56.6307886616647,7.4,0,18.4350394,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,86.190891969197,97.463622330097,94.941462258953,6.67680766055,6.67680766055,1e-07,-25.014694434389,1e-06,25.014694434389,0.55329170384,357.67,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,9.03682445498205
"46","ALBUSKJELL",1988,0.17557,6.5449,5,2.99301856064265,56.6307886616647,7.4,0,14.9238417,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,86.190891969197,97.463622330097,-7.877876661437,1e-07,7.877876661437,-28.343206924529,1e-06,28.343206924529,0.59988955903,392.57,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,8.3348675180892
